PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230180LI,230180LI,"HGB-Set0-DIN352-HSS-60°-M 18x2,50 mm",,"HGB-Set0-DIN352-HSS-60°-M 18x2,50 mm",,,,,"HGB-Set0-DIN352-HSS-60°-M 18x2,50 mm","HGB-Set0-DIN352-HSS-60°-M 18x2,50 mm",,,18.02.2026,,"HGB-Set0-DIN352-HSS-60°-M 18x2,50 mm",88.22999999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230180LI,230180LI-1,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,,,,"HGB-DIN352-HSS-60°-M 18x2,50 mm","HGB-DIN352-HSS-60°-M 18x2,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 18x2,50 mm",29.342000000000002,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230180LI,230180LI-2,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,,,,"HGB-DIN352-HSS-60°-M 18x2,50 mm","HGB-DIN352-HSS-60°-M 18x2,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 18x2,50 mm",29.342000000000002,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230180LI,230180LI-3,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,"HGB-DIN352-HSS-60°-M 18x2,50 mm",,,,,"HGB-DIN352-HSS-60°-M 18x2,50 mm","HGB-DIN352-HSS-60°-M 18x2,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 18x2,50 mm",29.342000000000002,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230200,230200,"HGB-DIN352HSS M20x2,5mm",,"HGB-DIN352HSS M20x2,5mm",,,,,"HGB-DIN352HSS M20x2,5mm","HGB-DIN352HSS M20x2,5mm",,,18.02.2026,,"HGB-DIN352HSS M20x2,5mm",79.3135,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230200,230200-1,"HGB-DIN352-HSS-60°-M 20x2,50 mm",,"HGB-DIN352-HSS-60°-M 20x2,50 mm",,,,,"HGB-DIN352-HSS-60°-M 20x2,50 mm","HGB-DIN352-HSS-60°-M 20x2,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 20x2,50 mm",26.4095,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230020,230020,"HGB-DIN352HSS M2x0,4mm",,"HGB-DIN352HSS M2x0,4mm",,,,,"HGB-DIN352HSS M2x0,4mm","HGB-DIN352HSS M2x0,4mm",,,18.02.2026,,"HGB-DIN352HSS M2x0,4mm",16.966,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230020,230020-1,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,,,,"HGB-DIN352-HSS-60°-M 2x0,40 mm","HGB-DIN352-HSS-60°-M 2x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2x0,40 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230020,230020-2,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,,,,"HGB-DIN352-HSS-60°-M 2x0,40 mm","HGB-DIN352-HSS-60°-M 2x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2x0,40 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230020,230020-3,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,"HGB-DIN352-HSS-60°-M 2x0,40 mm",,,,,"HGB-DIN352-HSS-60°-M 2x0,40 mm","HGB-DIN352-HSS-60°-M 2x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2x0,40 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
