PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030405&search=1,KR-030405,SCARA CORDA MULTIFUNCTIONALA 3X10 TREPTE,,SCARA CORDA MULTIFUNCTIONALA 3X10 TREPTE,,,,,SCARA CORDA MULTIFUNCTIONALA 3X10 TREPTE,SCARA CORDA MULTIFUNCTIONALA 3X10 TREPTE,,,01.01.2026,,SCARA CORDA MULTIFUNCTIONALA 3X10 TREPTE,244.97650000000002,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030429&search=1,KR-030429,SCARA CORDA MULTIFUNCTIONALA 3X11 TREPTE,,SCARA CORDA MULTIFUNCTIONALA 3X11 TREPTE,,,,,SCARA CORDA MULTIFUNCTIONALA 3X11 TREPTE,SCARA CORDA MULTIFUNCTIONALA 3X11 TREPTE,,,01.01.2026,,SCARA CORDA MULTIFUNCTIONALA 3X11 TREPTE,266.18390000000005,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-033369&search=1,KR-033369,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X6 TREPTE",,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X6 TREPTE",,,,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X6 TREPTE","SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X6 TREPTE",,,01.01.2026,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X6 TREPTE",146.79330000000002,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-033376&search=1,KR-033376,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X7 TREPTE",,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X7 TREPTE",,,,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X7 TREPTE","SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X7 TREPTE",,,01.01.2026,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X7 TREPTE",165.80720000000002,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-033383&search=1,KR-033383,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X8 TREPTE",R100558746,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X8 TREPTE",,,,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X8 TREPTE","SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X8 TREPTE",,,01.01.2026,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X8 TREPTE",198,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-033390&search=1,KR-033390,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X9 TREPTE",,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X9 TREPTE",,,,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X9 TREPTE","SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X9 TREPTE",,,01.01.2026,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X9 TREPTE",206.5528,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-033406&search=1,KR-033406,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X10 TREPTE",,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X10 TREPTE",,,,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X10 TREPTE","SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X10 TREPTE",,,01.01.2026,,"SCARA CORDA MULTIFUNCTIONALA, CU FUNCTIE DE EGALIZARE, 3X10 TREPTE",249.90920000000003,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-010070&search=1,KR-010070,SCARA CORDA SIMPLA 7 TREPTE,,SCARA CORDA SIMPLA 7 TREPTE,,,,,SCARA CORDA SIMPLA 7 TREPTE,SCARA CORDA SIMPLA 7 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 7 TREPTE,52.0127,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-010087&search=1,KR-010087,SCARA CORDA SIMPLA 8 TREPTE,R100321176,SCARA CORDA SIMPLA 8 TREPTE,,,,,SCARA CORDA SIMPLA 8 TREPTE,SCARA CORDA SIMPLA 8 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 8 TREPTE,61,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-010094&search=1,KR-010094,SCARA CORDA SIMPLA 9 TREPTE,,SCARA CORDA SIMPLA 9 TREPTE,,,,,SCARA CORDA SIMPLA 9 TREPTE,SCARA CORDA SIMPLA 9 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 9 TREPTE,65.1951,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-010100&search=1,KR-010100,SCARA CORDA SIMPLA 10 TREPTE,,SCARA CORDA SIMPLA 10 TREPTE,,,,,SCARA CORDA SIMPLA 10 TREPTE,SCARA CORDA SIMPLA 10 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 10 TREPTE,69.5714,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030115&search=1,KR-030115,SCARA CORDA SIMPLA 11 TREPTE,R902935004,SCARA CORDA SIMPLA 11 TREPTE,,,,,SCARA CORDA SIMPLA 11 TREPTE,SCARA CORDA SIMPLA 11 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 11 TREPTE,93,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030122&search=1,KR-030122,SCARA CORDA SIMPLA 12 TREPTE,,SCARA CORDA SIMPLA 12 TREPTE,,,,,SCARA CORDA SIMPLA 12 TREPTE,SCARA CORDA SIMPLA 12 TREPTE,,,01.01.2026,,SCARA CORDA SIMPLA 12 TREPTE,92.51219999999999,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-032089&search=1,KR-032089,SCARA CORDA CULISANTA 2X8 TREPTE,,SCARA CORDA CULISANTA 2X8 TREPTE,,,,,SCARA CORDA CULISANTA 2X8 TREPTE,SCARA CORDA CULISANTA 2X8 TREPTE,,,01.01.2026,,SCARA CORDA CULISANTA 2X8 TREPTE,132.2092,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-032119&search=1,KR-032119,SCARA CORDA CULISANTA 2X11 TREPTE,,SCARA CORDA CULISANTA 2X11 TREPTE,,,,,SCARA CORDA CULISANTA 2X11 TREPTE,SCARA CORDA CULISANTA 2X11 TREPTE,,,01.01.2026,,SCARA CORDA CULISANTA 2X11 TREPTE,169.7555,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030283&search=1,KR-030283,SCARA CORDA MULTIFUNCTIONALA 2X8 TREPTE,,SCARA CORDA MULTIFUNCTIONALA 2X8 TREPTE,,,,,SCARA CORDA MULTIFUNCTIONALA 2X8 TREPTE,SCARA CORDA MULTIFUNCTIONALA 2X8 TREPTE,,,01.01.2026,,SCARA CORDA MULTIFUNCTIONALA 2X8 TREPTE,130.3367,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-030221&search=1,KR-030221,SCARA CORDA MULTIFUNCTIONALA 2X11 TREPTE,,SCARA CORDA MULTIFUNCTIONALA 2X11 TREPTE,,,,,SCARA CORDA MULTIFUNCTIONALA 2X11 TREPTE,SCARA CORDA MULTIFUNCTIONALA 2X11 TREPTE,,,01.01.2026,,SCARA CORDA MULTIFUNCTIONALA 2X11 TREPTE,169.19910000000002,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-031525&search=1,KR-031525,SCARA CORDA CU SFOARA 2X16 TREPTE,,SCARA CORDA CU SFOARA 2X16 TREPTE,,,,,SCARA CORDA CU SFOARA 2X16 TREPTE,SCARA CORDA CU SFOARA 2X16 TREPTE,,,01.01.2026,,SCARA CORDA CU SFOARA 2X16 TREPTE,330.6621,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-085214&search=1,KR-085214,SCARA CORDA UNIVERSALA ARTICULATA CU PLATFORMA 4X3 TREPTE,,SCARA CORDA UNIVERSALA ARTICULATA CU PLATFORMA 4X3 TREPTE,,,,,SCARA CORDA UNIVERSALA ARTICULATA CU PLATFORMA 4X3 TREPTE,SCARA CORDA UNIVERSALA ARTICULATA CU PLATFORMA 4X3 TREPTE,,,01.01.2026,,SCARA CORDA UNIVERSALA ARTICULATA CU PLATFORMA 4X3 TREPTE,222.58140000000003,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-082015&search=1,KR-082015,SCHELA / SCARA CORDA 2X6 TREPTE,R100537983,SCHELA / SCARA CORDA 2X6 TREPTE,,,,,SCHELA / SCARA CORDA 2X6 TREPTE,SCHELA / SCARA CORDA 2X6 TREPTE,,,01.01.2026,,SCHELA / SCARA CORDA 2X6 TREPTE,197.24,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-082107&search=1,KR-082107,SCHELA / SCARA CORDA 2X7 TREPTE,,SCHELA / SCARA CORDA 2X7 TREPTE,,,,,SCHELA / SCARA CORDA 2X7 TREPTE,SCHELA / SCARA CORDA 2X7 TREPTE,,,01.01.2026,,SCHELA / SCARA CORDA 2X7 TREPTE,207.5158,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-916174&search=1,KR-916174,"SCHELA CORDA ALUMINIU MICA 0,5 x 1,5m, 3,00m",,"SCHELA CORDA ALUMINIU MICA 0,5 x 1,5m, 3,00m",,,,,"SCHELA CORDA ALUMINIU MICA 0,5 x 1,5m, 3,00m","SCHELA CORDA ALUMINIU MICA 0,5 x 1,5m, 3,00m",,,01.01.2026,,"SCHELA CORDA ALUMINIU MICA 0,5 x 1,5m, 3,00m",259.7425,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.scule.ro/?searchword=KR-916198&search=1,KR-916198,"SCHELA CORDA ALUMINIU RABATABILA 0,5 x 1,25m, 2,80m",,"SCHELA CORDA ALUMINIU RABATABILA 0,5 x 1,25m, 2,80m",,,,,"SCHELA CORDA ALUMINIU RABATABILA 0,5 x 1,25m, 2,80m","SCHELA CORDA ALUMINIU RABATABILA 0,5 x 1,25m, 2,80m",,,01.01.2026,,"SCHELA CORDA ALUMINIU RABATABILA 0,5 x 1,25m, 2,80m",250.8187,EUR,,,,,,,,,,,,PCE,,1,7-30zile,,,,,
