PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10000206-SURUBELNITA-DREAPTA-3X100MM.html?text=10000206,60951,SURUBELNITA DREAPTA 3X100 MM,,SURUBELNITA DREAPTA 3X100 MM,,,,,SURUBELNITA DREAPTA 3X100 MM,SURUBELNITA DREAPTA 3X100 MM,,,01.01.2026,,SURUBELNITA DREAPTA 3X100 MM,3.128,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001249-PILA-ROTUNDA-PENTRU-METAL-2X200MM.html?query_id=37,YT-6189,PILA ROTUNDA 200 MM PT METAL,,PILA ROTUNDA 200 MM PT METAL,,,,,PILA ROTUNDA 200 MM PT METAL,PILA ROTUNDA 200 MM PT METAL,,,01.01.2026,,PILA ROTUNDA 200 MM PT METAL,9.1885,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10004249-SET-SURUBELNITA-TIP-T-41-PIESE.html?text=10004249,65150,SET SURUBELNITA TIP T 41 PIESE,,SET SURUBELNITA TIP T 41 PIESE,,,,,SET SURUBELNITA VOREL TIP T 41 PIESE,SET SURUBELNITA VOREL TIP T 41 PIESE,,,01.01.2026,,SET SURUBELNITA VOREL TIP T 41 PIESE,24.529499999999995,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10003112-RACORD-FLEXIBIL-F-F-1-2-1-2-500MM.html?text=10003112,71802,RACORD FLEXIBIL 1/2 - 1/2 500 MM ,,RACORD FLEXIBIL 1/2 - 1/2 500 MM ,,,,,RACORD FLEXIBIL 1/2 - 1/2 500 MM ,RACORD FLEXIBIL 1/2 - 1/2 500 MM ,,,01.01.2026,,RACORD FLEXIBIL 1/2 - 1/2 500 MM ,10.832999999999998,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10008820-MASINA-ASCUTIT-BURGHIE-70W-3-16MM.html?text=10008820,73470,MASINA ASCUTIT BURGHIE 70 W 3-16 MM,,MASINA ASCUTIT BURGHIE 70 W 3-16 MM,,,,,MASINA ASCUTIT BURGHIE 70 W 3-16 MM,MASINA ASCUTIT BURGHIE 70 W 3-16 MM,,,01.01.2026,,MASINA ASCUTIT BURGHIE 70 W 3-16 MM,145.72799999999998,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001339-COLIERE-DIN-PLASTIC-150X2-5MM-100-BUC-ALB.html?text=10001339,73883,COLIERE DIN PLASTIC 160X2.5 MM 100 BUC,,COLIERE DIN PLASTIC 160X2.5 MM 100 BUC,,,,,COLIERE DIN PLASTIC 160X2.5 MM 100 BUC,COLIERE DIN PLASTIC 160X2.5 MM 100 BUC,,,01.01.2026,,COLIERE DIN PLASTIC 160X2.5 MM 100 BUC,2.576,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001445-COLIERE-DIN-PLASTIC-360X4-8MM-100-BUC-ALB.html?text=10001445,73886,COLIERE PLASTIC ALBE 4.8 SET 100,,COLIERE PLASTIC ALBE 4.8 SET 100,,,,,COLIERE PLASTIC ALBE 4.8 SET 100,COLIERE PLASTIC ALBE 4.8 SET 100,,,01.01.2026,,COLIERE PLASTIC ALBE 4.8 SET 100,12.811,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001262-COLIERE-DIN-PLASTIC-75X2-4MM-100-BUC-ALB.html?query_id=40,73881,COLIERE PLASTIC ALBE 4.8 ,,COLIERE PLASTIC ALBE 4.8 ,,,,,COLIERE PLASTIC ALBE 4.8 ,COLIERE PLASTIC ALBE 4.8 ,,,01.01.2026,,COLIERE PLASTIC ALBE 4.8 ,1.564,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001576-COLIERE-DIN-PLASTIC-96X2-5MM-100-BUC-NEGRU.html?text=10001576,73892,COLIERE DIN PLASTIC 96X2.5 MM SET 100,,COLIERE DIN PLASTIC 96X2.5 MM SET 100,,,,,COLIERE DIN PLASTIC 96X2.5 MM SET 100,COLIERE DIN PLASTIC 96X2.5 MM SET 100,,,01.01.2026,,COLIERE DIN PLASTIC 96X2.5 MM SET 100,1.7249999999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001786-COLIERE-DIN-PLASTIC-500X8MM-50-BUC-NEGRU.html?text=10001786,73898,COLIERE PLASTIC 500X8 MM SET 50,,COLIERE PLASTIC 500X8 MM SET 50,,,,,COLIERE PLASTIC 500X8 MM SET 50,COLIERE PLASTIC 500X8 MM SET 50,,,01.01.2026,,COLIERE PLASTIC 500X8 MM SET 50,15.237499999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10002368-COLIERE-PLASTIC-280X4-8MM-100-BUC-NEGRU.html?text=10002368,73929,COLIERE PLASTIC 280X4.8 SET 100 BUC,,COLIERE PLASTIC 280X4.8 SET 100 BUC,,,,,COLIERE PLASTIC 280X4.8 SET 100 BUC,COLIERE PLASTIC 280X4.8 SET 100 BUC,,,01.01.2026,,COLIERE PLASTIC 280X4.8 SET 100 BUC,9.2805,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10006933-MASCA-PENTRU-SUDURA.html?text=10006933,74443,MASCA SUDURA TSMP,,MASCA SUDURA TSMP,,,,,MASCA SUDURA TSMP,MASCA SUDURA TSMP,,,01.01.2026,,MASCA SUDURA TSMP,47.4605,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10007568-LACAT-ALAMA-35MM.html?text=10007568,77350,LACAT ALAMA 35MM,,LACAT ALAMA 35MM,,,,,LACAT ALAMA 35MM,LACAT ALAMA 35MM,,,01.01.2026,,LACAT ALAMA 35MM,5.4624999999999995,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10007663-LACAT-ALAMA-60MM.html?text=10007663,77600,LACAT ALAMA 60 MM,,LACAT ALAMA 60 MM,,,,,LACAT ALAMA 60 MM,LACAT ALAMA 60 MM,,,01.01.2026,,LACAT ALAMA 60 MM,12.488999999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10007754-LACAT-ALAMA-40X105MM.html?text=10007754,77700,LACATE GALBENE,,LACATE GALBENE,,,,,LACAT ALAMA 40X105MM,LACAT ALAMA 40X105MM,,,01.01.2026,,LACAT ALAMA 40X105MM,7.153,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10017158-ORGANIZATOR-MODULAR-39-SERATE.html?text=10017158,78780,ORGANIZATOR MODULAR,,ORGANIZATOR MODULAR,,,,,ORGANIZATOR MODULAR 39 SERATE,ORGANIZATOR MODULAR 39 SERATE,,,01.01.2026,,ORGANIZATOR MODULAR 39 SERATE,137.26399999999998,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
