PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=2.889-081.0,2.889-081.0, Filter blowing filter 3 St.,,PROFESSIONAL PRODUCTS / Filter blowing filter 3 St.,,,,, Filter blowing filter 3 St., Filter blowing filter 3 St.,,,2026-01-01 00:00:00,, Filter blowing filter 3 St.,47.78,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=5.731-020.0,5.731-020.0, Filter cartridge,,PROFESSIONAL PRODUCTS / Filter cartridge,,,,, Filter cartridge, Filter cartridge,,,2026-01-01 00:00:00,, Filter cartridge,301.59,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=6.904-048.0,6.904-048.0, Filter element,,PROFESSIONAL PRODUCTS / Filter element,,,,, Filter element, Filter element,,,2026-01-01 00:00:00,, Filter element,223.86,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=5.731-007.0,5.731-007.0," FILTER ELEMENT, ROUND (PAPER)",,"PROFESSIONAL PRODUCTS / FILTER ELEMENT, ROUND (PAPER)",,,,," FILTER ELEMENT, ROUND (PAPER)"," FILTER ELEMENT, ROUND (PAPER)",,,2026-01-01 00:00:00,," FILTER ELEMENT, ROUND (PAPER)",217.45,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=5.731-614.0,5.731-614.0, Filter frame grey,,PROFESSIONAL PRODUCTS / Filter frame grey,,,,, Filter frame grey, Filter frame grey,,,2026-01-01 00:00:00,, Filter frame grey,31.4,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=6.414-917.0,6.414-917.0, Filter only for replacement,,PROFESSIONAL PRODUCTS / Filter only for replacement,,,,, Filter only for replacement, Filter only for replacement,,,2026-01-01 00:00:00,, Filter only for replacement,219.91,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=6.414-939.0,6.414-939.0, Filter only for replacement,,PROFESSIONAL PRODUCTS / Filter only for replacement,,,,, Filter only for replacement, Filter only for replacement,,,2026-01-01 00:00:00,, Filter only for replacement,205.94,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=2.889-293.0,2.889-293.0, Filter packaged HEPA T 10/1,,PROFESSIONAL PRODUCTS / Filter packaged HEPA T 10/1,,,,, Filter packaged HEPA T 10/1, Filter packaged HEPA T 10/1,,,2026-01-01 00:00:00,, Filter packaged HEPA T 10/1,167.75,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=6.414-080.0,6.414-080.0," Filter packaged HEPA, H13",,"PROFESSIONAL PRODUCTS / Filter packaged HEPA, H13",,,,," Filter packaged HEPA, H13"," Filter packaged HEPA, H13",,,2026-01-01 00:00:00,," Filter packaged HEPA, H13",219.91,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=4.414-015.0,4.414-015.0, Filter sponge Kärcher 3St.,,PROFESSIONAL PRODUCTS / Filter sponge Kärcher 3St.,,,,, Filter sponge Kärcher 3St., Filter sponge Kärcher 3St.,,,2026-01-01 00:00:00,, Filter sponge Kärcher 3St.,188.55,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
